CAINC30 Economic profile
CAINC30 Economic profile
County
GeoFips,GeoName,LineCode,Description,2021
37091,"Hertford, NC",100,"  Population (persons) 3/",21278
37091,"Hertford, NC",,Place of work profile (thousands of dollars),
37091,"Hertford, NC",180,"  Earnings by place of work",565458
37091,"Hertford, NC",190,"    Wages and salaries",425237
37091,"Hertford, NC",240,Total employment (number of jobs),11155
37093,"Hoke, NC",,Place of residence profile,
37093,"Hoke, NC",10,Personal income (thousands of dollars),2212309
37093,"Hoke, NC",100,"  Population (persons) 3/",53114
37093,"Hoke, NC",,Place of work profile (thousands of dollars),
37093,"Hoke, NC",180,"  Earnings by place of work",565823
37093,"Hoke, NC",190,"    Wages and salaries",392605
37093,"Hoke, NC",240,Total employment (number of jobs),14524
37095,"Hyde, NC",,Place of residence profile,
37095,"Hyde, NC",10,Personal income (thousands of dollars),221682
37095,"Hyde, NC",100,"  Population (persons) 3/",4508
37095,"Hyde, NC",,Place of work profile (thousands of dollars),
37095,"Hyde, NC",180,"  Earnings by place of work",112535
37095,"Hyde, NC",190,"    Wages and salaries",81709
37095,"Hyde, NC",240,Total employment (number of jobs),3132
37097,"Iredell, NC",,Place of residence profile,
37097,"Iredell, NC",10,Personal income (thousands of dollars),11669888
37097,"Iredell, NC",100,"  Population (persons) 3/",191968
37097,"Iredell, NC",,Place of work profile (thousands of dollars),
37097,"Iredell, NC",180,"  Earnings by place of work",7170432
37097,"Iredell, NC",190,"    Wages and salaries",5231917
37097,"Iredell, NC",240,Total employment (number of jobs),110809
37099,"Jackson, NC",,Place of residence profile,
37099,"Jackson, NC",10,Personal income (thousands of dollars),1882332
37099,"Jackson, NC",100,"  Population (persons) 3/",43410
37099,"Jackson, NC",,Place of work profile (thousands of dollars),
37099,"Jackson, NC",180,"  Earnings by place of work",1195857
37099,"Jackson, NC",190,"    Wages and salaries",868056
37099,"Jackson, NC",240,Total employment (number of jobs),24249
37101,"Johnston, NC",,Place of residence profile,
37101,"Johnston, NC",10,Personal income (thousands of dollars),11087364
37101,"Johnston, NC",100,"  Population (persons) 3/",226504
37101,"Johnston, NC",,Place of work profile (thousands of dollars),
37101,"Johnston, NC",180,"  Earnings by place of work",4281910
37101,"Johnston, NC",190,"    Wages and salaries",2814070
37101,"Johnston, NC",240,Total employment (number of jobs),87015
37103,"Jones, NC",,Place of residence profile,
37103,"Jones, NC",10,Personal income (thousands of dollars),465018
37103,"Jones, NC",100,"  Population (persons) 3/",9255
37103,"Jones, NC",,Place of work profile (thousands of dollars),
37103,"Jones, NC",180,"  Earnings by place of work",146671
37103,"Jones, NC",190,"    Wages and salaries",78635
37103,"Jones, NC",240,Total employment (number of jobs),3004
37105,"Lee, NC",,Place of residence profile,
37105,"Lee, NC",10,Personal income (thousands of dollars),3151505
37105,"Lee, NC",100,"  Population (persons) 3/",64138
37105,"Lee, NC",,Place of work profile (thousands of dollars),
37105,"Lee, NC",180,"  Earnings by place of work",1794222
37105,"Lee, NC",190,"    Wages and salaries",1340341
37105,"Lee, NC",240,Total employment (number of jobs),34659
37107,"Lenoir, NC",,Place of residence profile,
37107,"Lenoir, NC",10,Personal income (thousands of dollars),2755162
37107,"Lenoir, NC",100,"  Population (persons) 3/",54706
37107,"Lenoir, NC",,Place of work profile (thousands of dollars),
37107,"Lenoir, NC",180,"  Earnings by place of work",1945912
37107,"Lenoir, NC",190,"    Wages and salaries",1387896
37107,"Lenoir, NC",240,Total employment (number of jobs),36010
37109,"Lincoln, NC",,Place of residence profile,
37109,"Lincoln, NC",10,Personal income (thousands of dollars),4964823
37109,"Lincoln, NC",100,"  Population (persons) 3/",89670
37109,"Lincoln, NC",,Place of work profile (thousands of dollars),
37109,"Lincoln, NC",180,"  Earnings by place of work",1929997
37109,"Lincoln, NC",190,"    Wages and salaries",1359825
37109,"Lincoln, NC",240,Total employment (number of jobs),37912
37111,"McDowell, NC",,Place of residence profile,
37111,"McDowell, NC",10,Personal income (thousands of dollars),1921046
37111,"McDowell, NC",100,"  Population (persons) 3/",44717
37111,"McDowell, NC",,Place of work profile (thousands of dollars),
37111,"McDowell, NC",180,"  Earnings by place of work",978441
37111,"McDowell, NC",190,"    Wages and salaries",707053
37111,"McDowell, NC",240,Total employment (number of jobs),20565
37113,"Macon, NC",,Place of residence profile,
37113,"Macon, NC",10,Personal income (thousands of dollars),1835954
37113,"Macon, NC",100,"  Population (persons) 3/",37564
37113,"Macon, NC",,Place of work profile (thousands of dollars),
37113,"Macon, NC",180,"  Earnings by place of work",799869
37113,"Macon, NC",190,"    Wages and salaries",538645
37113,"Macon, NC",240,Total employment (number of jobs),17938
37115,"Madison, NC",,Place of residence profile,
37115,"Madison, NC",10,Personal income (thousands of dollars),925952
37115,"Madison, NC",100,"  Population (persons) 3/",21502
37115,"Madison, NC",,Place of work profile (thousands of dollars),
37115,"Madison, NC",180,"  Earnings by place of work",289090
37115,"Madison, NC",190,"    Wages and salaries",179097
37115,"Madison, NC",240,Total employment (number of jobs),8094
37117,"Martin, NC",,Place of residence profile,
37117,"Martin, NC",10,Personal income (thousands of dollars),939245
37117,"Martin, NC",100,"  Population (persons) 3/",21754
37117,"Martin, NC",,Place of work profile (thousands of dollars),
37117,"Martin, NC",180,"  Earnings by place of work",390577
37117,"Martin, NC",190,"    Wages and salaries",287394
37117,"Martin, NC",240,Total employment (number of jobs),9442
37119,"Mecklenburg, NC",,Place of residence profile,
37119,"Mecklenburg, NC",10,Personal income (thousands of dollars),80619972
37119,"Mecklenburg, NC",100,"  Population (persons) 3/",1122276
37119,"Mecklenburg, NC",,Place of work profile (thousands of dollars),
37119,"Mecklenburg, NC",180,"  Earnings by place of work",84130777
37119,"Mecklenburg, NC",190,"    Wages and salaries",62943244
37119,"Mecklenburg, NC",240,Total employment (number of jobs),983580
37121,"Mitchell, NC",,Place of residence profile,
37121,"Mitchell, NC",10,Personal income (thousands of dollars),657965
37121,"Mitchell, NC",100,"  Population (persons) 3/",14963
37121,"Mitchell, NC",,Place of work profile (thousands of dollars),
37121,"Mitchell, NC",180,"  Earnings by place of work",305439
37121,"Mitchell, NC",190,"    Wages and salaries",220441
37121,"Mitchell, NC",240,Total employment (number of jobs),7005
37123,"Montgomery, NC",,Place of residence profile,
37123,"Montgomery, NC",10,Personal income (thousands of dollars),1210332
37123,"Montgomery, NC",100,"  Population (persons) 3/",25798
37123,"Montgomery, NC",,Place of work profile (thousands of dollars),
37123,"Montgomery, NC",180,"  Earnings by place of work",665089
37123,"Montgomery, NC",190,"    Wages and salaries",472960
37123,"Montgomery, NC",240,Total employment (number of jobs),12527
37125,"Moore, NC",,Place of residence profile,
37125,"Moore, NC",10,Personal income (thousands of dollars),6245470
37125,"Moore, NC",100,"  Population (persons) 3/",102763
37125,"Moore, NC",,Place of work profile (thousands of dollars),
37125,"Moore, NC",180,"  Earnings by place of work",2847286
37125,"Moore, NC",190,"    Wages and salaries",1942738
37125,"Moore, NC",240,Total employment (number of jobs),54524
37127,"Nash, NC",,Place of residence profile,
37127,"Nash, NC",10,Personal income (thousands of dollars),4826728
37127,"Nash, NC",100,"  Population (persons) 3/",95176
37127,"Nash, NC",,Place of work profile (thousands of dollars),
37127,"Nash, NC",180,"  Earnings by place of work",2789547
37127,"Nash, NC",190,"    Wages and salaries",2029413
37127,"Nash, NC",240,Total employment (number of jobs),52219
37129,"New Hanover, NC",,Place of residence profile,
37129,"New Hanover, NC",10,Personal income (thousands of dollars),13212775
37129,"New Hanover, NC",100,"  Population (persons) 3/",229018
37129,"New Hanover, NC",,Place of work profile (thousands of dollars),
